Table.1..State.energy.related.carbon.dioxide.emissions.by.year..1970.2021.,...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42,...43,...44,...45,...46,...47,...48,...49,...50,...51,...52,...53,...54,...55,...56,...57
million metric tons of energy-related carbon dioxide,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Change,,Change,
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,(1970-2021),,(2019-2021),
State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Percent,Absolute,Percent,Absolute
Connecticut,47.8319936346207,45.894755556588,47.2155749749131,48.5769912173281,45.425743533664,41.6880927079815,43.4329168461711,43.0514353434568,43.969455417911,42.0146528482167,40.1478058809101,35.4374141156744,35.444584065491,34.7771577496883,37.9665160033208,37.8671237311326,39.5327020270779,39.7265123051076,42.247766821389,43.7354610559578,40.4426338904301,39.604500094132,39.9750644246934,38.0320901727144,37.3840607057891,36.7137928802843,39.4186186040366,42.3198684476895,39.9163241046537,41.1687756258222,42.7507670546332,41.5661237732473,40.0426365804773,42.9642969936004,44.716782900095,43.9020216103227,40.914923361325,40.1266558133655,37.6519747224725,35.9584152996993,36.4410489353405,35.0350564410976,34.2681708663664,34.6496557776867,34.9799104387502,36.3296727133775,34.0962496753274,33.8603823224485,37.3865977552349,36.6353523409452,33.7690973618948,36.5732571120829,-0.23538087516362219,-11.25873652253784,8.3039227259663395E-2,2.8041597501880839
Delaware,16.0723068483064,15.9295196788452,16.0138020842072,17.2435187452548,16.6574060843134,15.5431089316345,16.1570297205601,16.1397933809877,16.1834807617288,17.0772376515733,17.4894363610863,16.3429057772975,14.6983033905577,17.6717843777158,18.4327752152294,17.3693086200828,17.1518592058341,17.9191685530279,18.5127718386272,17.7755735494542,18.0373341416078,17.8832770149087,17.7681343083327,19.1307923985856,18.471573625112,17.5171715210525,18.1547496985941,16.8495218804726,16.1962103668351,16.4002467219651,16.679414049602,15.9963167201773,15.8819794345681,16.6094965166018,16.6185290162423,17.4036529449129,16.2370578892108,17.1157920212705,16.1800247721793,11.9218612401928,13.0791280054496,13.8659449151981,14.5859761094228,14.035684224176,13.7764214497641,13.9056482684868,14.4207537256027,13.7687619218063,13.9919870694048,13.5939829449186,12.4768703876731,12.9666335651477,-0.19323133340289511,-3.1056732831587262,3.9253688004844189E-2,0.48976317747459669
District of Columbia,13.6418206225907,11.8770807188266,11.3057894689891,11.8502161020428,9.84932521116556,7.88970227199035,7.69028043966291,7.92285353669821,7.45023889437721,6.04527505015125,5.24982976401162,4.69151553327342,5.18359575475052,5.02496037320604,5.23835834541313,4.73737040015899,5.20416038621733,5.00042550893327,4.90293010530435,5.03983316821248,4.43622539562206,4.38129366491523,4.35371502992114,4.53181198680091,4.50067577825151,4.41974712780221,4.37828141914177,4.25628372455047,4.06621148121601,4.14296980818999,4.31308830777312,4.08284981603711,4.18607828009673,3.95333726820189,4.02122187349443,3.93305395563885,3.18914237287956,3.38085798300261,3.0807022502893,3.17874859999129,3.22249188810059,3.09067002231432,2.64987588562147,2.82353763944491,3.01284904462232,2.95782404719373,2.75799163202878,2.585220131983,2.85606827583228,2.80754923972093,2.40085187318603,2.52085585406632,-0.8152111859694291,-11.12096476852439,4.9983917050677951E-2,0.12000398088029481
Florida,104.354245167008,111.502510981567,121.679521428904,132.240485565408,124.294541591394,125.93808771281,134.520240470661,138.182988476558,146.101802014854,153.416193914877,155.794454104459,156.051304558227,140.017985613342,146.141732645721,143.716436269515,152.358688935279,163.40120999299,174.010629472374,183.909355100168,188.187868932551,187.524066121404,188.395794765115,190.697913002581,193.538583636916,201.171417406838,206.848562881085,212.501941518288,217.836280402888,230.337785439321,229.809424715856,239.057624752879,237.38884985938,241.161887692945,246.536648618038,257.125265567867,260.033845282441,259.076622383261,256.689816742928,238.529793492639,224.701848382662,245.461308124173,232.428570032547,226.974378955213,226.983070243669,233.032277023328,237.387043836882,238.837494482939,238.436599377968,242.017701685215,233.617788982009,207.727250225351,226.324206671428,1.1688068972107419,121.96996150442,8.9525839416363606E-2,18.596956446077542
Georgia,73.5277533233955,79.5680310972279,86.7599038579629,93.1060914595127,91.691935480976,91.4438859838084,96.2260265136909,104.698471859052,106.525318761975,111.442333214473,113.047584553189,113.528671300042,110.097337690951,117.263623108421,130.018405006321,136.61077482274,131.351057174363,136.842515239316,139.127583306666,134.1672991144,139.047386244909,130.979883339895,130.609176714072,140.140349099475,143.068185045822,151.56030876771,156.09261616896,157.140487001495,158.382179101871,160.989611387086,169.675490404231,161.613586916859,166.611521091945,170.462423492277,175.322179103366,185.619259924259,182.950506681053,185.575793221233,172.624794339633,163.045802507987,175.200662338644,160.024631738993,141.641692676607,142.910571826841,148.095572456552,145.680117685016,144.543626518583,141.837769833695,141.923837117182,136.496575730442,116.596997711448,124.119173704667,0.6880588362159783,50.59142038127105,6.4514319758341543E-2,7.5221759932189514
Hawaii,13.9310492057808,15.0557636237099,15.4952760551279,15.9511727996678,15.1032717526785,15.2079374244186,15.6177293872845,16.6675891685196,16.9852393619194,18.3760876518481,18.0924391082447,16.2688128552943,14.9092756820335,14.907889042273201,15.8411642909029,17.0148662290655,16.6489537786162,16.7445922293671,19.6398166443645,20.4910701150385,21.3899767735916,19.4778298697969,20.4351585774775,18.7107409549084,20.0075409930477,19.9970044132512,19.1353737491067,18.6916732851112,18.7049638787976,18.4140439131663,18.7272034630781,19.170969945842,20.438453044634,21.5037777093715,22.4573973937515,23.0395683895724,23.2351662598098,23.9962094973832,19.2658741387911,18.8154464006369,20.4181511640763,20.6255327693516,20.2939852454041,20.1470453225682,19.5781097589916,19.7811812923263,19.8186139916517,20.4326199196732,20.3011406792,20.5326290531323,14.9207337658949,17.3402479746129,0.2447194549723852,3.4091987688321548,0.16215785675691491,2.419514208718049
Idaho,10.2497839511729,11.0684468129166,11.6443675645181,11.9570319171129,12.0755845418349,13.1350928894198,12.9254267887647,12.8816739166513,13.2982105196649,13.3269970093243,11.21370686424,10.1526006620175,9.7491962850172,9.63175723477227,9.75265225803141,9.92928117034081,9.79625380139968,10.0499055000234,10.5975741812916,11.1756578985369,11.3232074733525,11.9771153677912,11.2558513402173,12.3775762531689,12.533222748956,13.3231105698039,13.7783876807643,13.7816645629689,14.0056900064783,14.8982082847673,15.6926507273276,15.5772049702747,15.0106722307675,14.4880231633226,15.6849194641202,15.7915476891297,15.8344253862371,16.308399227276,15.5034176631839,15.1712298254485,16.2569501861885,15.9583000377381,15.7701415948709,17.2421386954288,16.8490433994476,18.0360945607775,18.3420393352205,18.7027967392042,19.0427853494439,20.0872480147818,19.3604880029663,20.5221350164932,1.002201716080533,10.272351065320221,6.0000915955675797E-2,1.1616470135268491
Illinois,247.21287086923,243.747717784853,253.312294206027,256.997683743955,252.039592162959,245.42162040423,254.195400571649,256.305535732944,258.84276740712,248.624148636595,232.382994561341,214.156731705754,203.80014253511,210.493372682873,206.663627162075,198.517980497478,196.296671835868,192.248990201812,197.088196837979,193.408214208025,192.835739502571,192.38767114689,188.668648277197,204.130175622622,203.850277585362,207.876308165921,222.243097345084,225.624169911879,217.120450776196,226.917623147023,234.922130709506,225.133433062249,227.444056350586,231.414970415785,237.797985657365,244.448749885287,236.486426589797,243.953648480173,242.253692763291,227.224735539101,233.291787435818,232.082945527498,219.016856141324,233.629088013358,236.733100854223,219.159750525045,207.433194110188,205.979395438909,213.11176655844,203.475091091399,170.156416854033,184.234367593203,-0.25475414388655132,-62.97850327602734,8.2735350211606162E-2,14.077950739170429
Indiana,171.932202752688,169.060620782977,184.019705048127,188.392981395096,181.538603658446,178.99076112656,181.372058335028,186.306583425617,185.59661232848,192.779943324696,184.111071766594,179.417976824396,162.170863511634,168.363906244471,185.222830888896,182.895787746811,178.384793212177,184.662883315889,195.146542764693,199.471430456407,206.107660297944,202.36612300061,199.83787574704,204.211936336994,204.016736201877,209.428273281915,214.124207331951,217.990557449683,219.71982580321,226.446767942079,239.725378063077,230.327817908534,233.289501977707,239.738769907077,240.055900353056,238.61884865046,236.724169343319,235.952323911976,231.677033939248,209.092460954093,218.368342888206,209.771849906458,195.439784257806,200.06084308802,205.778724109771,187.236548634718,181.832003063765,175.892354483847,189.21819049926,176.181825481441,154.447601273007,166.380706664917,-3.2288867349392743E-2,-5.5514960877704311,7.7263131920173755E-2,11.93310539191071
Iowa,53.4749561210957,53.3964671886356,56.3978262286944,59.452561902908,56.1468332759485,55.1384715594453,58.4974275459251,58.7767722661882,58.0746564164132,63.275483156501,59.1526595004261,58.4951782395643,57.3952278748443,56.2698564305837,56.8289543519304,57.8492663267292,56.5577415022049,58.3907648961642,62.4912319098591,62.6415302514021,63.4964200763981,65.5532649964576,63.9417294233417,67.2529424904883,68.412576968583,71.8038928973991,74.8188389700624,74.2529984534282,77.1811899053347,78.1419021731271,79.4070992975966,78.244458562114,78.815703988888,78.9153230740389,80.0377131757258,80.0805696319876,81.3275795742668,87.0351297231234,90.3201658099439,85.4290255095112,90.2831367248806,87.2572992761744,81.3933251884049,82.3747753196556,83.4369865930792,77.4161369756802,73.9838790502855,76.3053187701724,82.4355664490489,77.306447204523,65.6562341444049,73.1423574621309,0.36778714313477351,19.667401341035159,0.11401999239342531,7.4861233177259976
