"","Sector","Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"11","Industrial Sector","Natural Gas",3.89616685304,3.97787449048,4.34074358256,4.97777930672,4.51029199896,3.20398354232,2.30215830328,1.02002760288,1.23909733552,3.57987922424,4.39036627304,4.4057244704,4.13262226784,3.91106886632,4.16805256472,3.92069941912,3.79479261304,3.99379024616,3.90894000728,4.31823850128,4.508619324,4.4360573466,4.76529577993333,4.84305294176,4.98031366272,5.59328621998667,5.47231383658667,5.86140362822666,5.61518680653333,5.63245414864,5.55762429352125,4.66581931758585,5.15828536480489,4.6759097278881,4.76239994978187,4.59611869325556,4.62229671089296,4.67575719961903,4.69505031835711,4.29053934068745,4.78869004496804,5.11930620341588,5.26321067623019,5.64546761548872,5.6098082563271,5.51136798816416,5.52894592794148,5.63405896839665,6.08931241156317,6.22355316202398,6.03536282694401,6.4017134334846
"12","Industrial Sector","Total",15.4253211652505,16.1558475070714,17.0854247652233,16.7212631702134,15.2852272576485,13.5131186350351,15.0157611195017,15.6559062508774,14.0104588136512,16.6453802271199,15.0756405485932,14.0266099239594,13.4468556954412,13.5371595861345,15.7157656086724,15.2940411527388,16.4422561111716,16.3443385675906,16.1483795225894,15.8272487422372,17.012354265947,16.4032741499707,18.1680629748542,17.2888786431936,16.4521058123118,17.6497778388337,17.5503381393615,17.1662726089185,16.0816429526635,15.1483199422906,15.8103461557626,15.0944956183065,14.1843573157507,13.3011115182908,13.6304961153157,13.7239585283225,12.7891349729599,12.0205849884686,11.1648004697913,9.65720512169815,10.3798709402942,9.99114677125412,9.48537471306765,10.1338384062076,9.80234009509943,9.51558360444726,9.56421947779366,9.62510977011056,9.88092307277541,9.93559556875605,9.6132711559726,10.0671039700901
"13","Transportation Sector","Coal",0.00817974666666667,0.00542146,0.00342408,0.00247294666666667,0.00171204,0.00057068,0.00028534,0.000190226666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Transportation Sector","Petroleum Products",25.46317015,26.2245882433333,27.95779459,29.93084589,30.05700599,29.94517306,31.3675377766667,32.8765536366667,34.2503938333333,33.90031744,31.2117339966667,31.50729747,31.4956957333333,33.00835296,33.7120432,34.77127577,36.76228985,38.51922118,40.78074341,38.84982068,37.9056977933333,37.3635772033333,37.9998040033333,39.4602792466667,40.79808997,42.4326507366667,44.8641274766667,45.67402092,46.7540701833333,47.7329263766667,49.7759915766667,48.7702304833333,49.3718620633333,50.7268759066667,51.9757429766667,53.1130763533333,52.61520264,53.97346955,51.9063996,47.4430932066667,51.8483065833333,50.4372233933333,48.8713843933333,50.3518181833333,51.2456756166667,52.2220534,53.6937264233333,54.2316901133333,54.9479794966667,56.08893301,49.8870862233333,54.5198599366667
"15","Transportation Sector","Natural Gas",0.33397298,0.3385327,0.32904212,0.32617904,0.24431616,0.1914022,0.15025868,0.11871178,0.14066206,0.27183354,0.31477974,0.33651794,0.36403532,0.31695356,0.30841734,0.2600631,0.27559796,0.28169526,0.28397512,0.31064418,0.34378168,0.339464216666667,0.353292866666667,0.32734548,0.31674148,0.33537119,0.406573236666667,0.40190425,0.369505766666667,0.3621266,0.394688543333333,0.365838,0.335105906666667,0.34123672,0.277804706666667,0.23763564,0.25682888,0.27395434,0.2910798,0.43182821,0.43276376,0.39565152,0.29414616,0.22045716,0.217973433333333,0.24544949,0.15338609,0.18052892,0.23269818,0.23021141,0.26359762,0.26095212
"16","Transportation Sector","Total",25.8053228766667,26.5685424033333,28.29026079,30.2594978766667,30.30303419,30.13714594,31.5180817966667,32.9954556433333,34.3910558933333,34.17215098,31.5265137366667,31.84381541,31.8597310533333,33.32530652,34.02046054,35.03133887,37.03788781,38.80091644,41.06471853,39.16046486,38.2494794733333,37.70304142,38.35309687,39.7876247266667,41.11483145,42.7680219266667,45.2707007133333,46.07592517,47.12357595,48.0950529766667,50.17068012,49.1360684833333,49.70696797,51.0681126266667,52.2535476833333,53.3507119933333,52.87203152,54.24742389,52.1974794,47.8749214166667,52.2810703433333,50.8328749133333,49.1655305533333,50.5722753433333,51.46364905,52.46750289,53.8471125133333,54.4122190333333,55.1806776766667,56.31914442,50.1506838433333,54.7808120566666
"17","Electric Power Sector","Coal",40.6177685466667,41.0756441333333,42.6727872266667,46.2193732,45.4751113666667,41.19282376,48.0551556466667,48.2041031266667,43.4625132333333,48.9830813266667,55.8261052066667,58.0035347466667,54.9393636,51.87110258,48.1935455466667,46.58232568,49.0547016666667,41.1932993266667,42.4980640333333,49.8102819866667,46.58774714,47.33666168,54.51891742,58.9699437066667,53.7180721733333,56.61276192,64.66578624,67.17172682,66.7225228266667,66.1033325333333,70.14822562,67.4250599733333,69.26940328,69.4482929066667,70.3658307733333,73.7517797866667,70.8942581233333,76.0421851933333,72.579122,62.09847336,68.86398255,57.37218135,49.1331417866667,45.1125216666667,46.009425,37.02324967,34.8497339666667,32.0491817066667,29.8790072166667,29.34897152,20.4277815866667,20.23746725
"18","Electric Power Sector","Petroleum Products",0.827059933333333,0.923061296666667,2.32152066666667,3.11137651,2.53094391,0.151972443333333,0.393409756666667,0.525520086666667,0.89643763,0.181325283333333,0.241542473333333,0.20678284,0.142595273333333,0.19990487,0.144886793333333,0.190882156666667,0.150353903333333,0.187332236666667,0.197390343333333,0.241246646666667,0.16795559,0.161595316666667,0.13689379,0.174907516666667,0.201531916666667,0.22963545,0.2590258,0.222958853333333,0.34334784,0.289022653333333,0.508390666666667,0.381777146666667,0.353110266666667,0.50326122,0.282082056666667,0.23833579,0.204695993333333,0.22564575,0.20470725,0.207249606666667,0.226499093333333,0.16303386,0.1460558,0.167416736666667,0.375704816666667,0.33793012,0.203561856666667,0.201338756666667,0.5145316,0.14709376,0.0986062,0.1530991
"19","Electric Power Sector","Natural Gas",1.14698166,1.13616558,0.92615336,0.42437208,0.05864012,0.00551408,0.00031812,5.302e-05,0.0002651,0.03228918,0.0933152,0.04946766,0.00418858,0.00890736,0.0066275,0.0326073,0.06224548,0.063624,0.05853408,0.092785,0.15391706,0.224013533333333,0.2365176,0.17873042,0.08334744,0.30751644,0.195672986666667,0.32216008,0.743938983333333,0.67277078,0.698491016666667,0.88214676,1.70768187333333,0.76576786,1.14713819,1.45174062,1.52395386,2.1571187,1.9286025,2.13351468,3.90628890666667,4.79066456,8.05522230333333,10.76056806,11.0790799166667,14.74845086,16.06606859,15.25363554,17.96807727,16.56098873,16.58167654,19.74056227
"20","Electric Power Sector","Total",42.59181014,43.13487101,45.9204612533333,49.75512179,48.0646953966667,41.3503102833333,48.4488835233333,48.7296762333333,44.3592159633333,49.19669579,56.16096288,58.2597852466667,55.0861474533333,52.07991481,48.34505984,46.8058151366667,49.26730105,41.4442555633333,42.7539884566667,50.1443136333333,46.90961979,47.72227053,54.89232881,59.3235816433333,54.00295153,57.14991381,65.1204850266667,67.7168457533333,67.80980965,67.0651259666667,71.3551073033333,68.68898388,71.33019542,70.7173219866666,71.79505102,75.4418561966666,72.6229079766667,78.4249496433333,74.71243175,64.4392376466667,72.99677055,62.32587977,57.33441989,56.0405064633333,57.4642097333333,52.10963065,51.1193644133333,47.5041560033333,48.3616160866667,46.05705401,37.1080643266667,40.13112862
