"","Sector","Type","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"11","Industrial Sector","Natural Gas",2.33104996168,2.52203902984,2.76721262928,2.78206395544,2.65620783648,1.88956514648,1.70100906008,1.56846224128,1.71286984616,2.14619403504,2.81044874264,2.72686568176,2.63071221512,2.43353931832,2.49993944552,2.67410038984,2.548294958,2.95222061728,2.83026740656,3.07027091976,3.97163997472,3.1836343462,3.65657269266667,3.92936691664,4.5765400648,5.16498818836,4.50920120933333,4.58437147021333,4.97226012433333,5.08422225872,4.08819861209772,3.49743750455933,4.03453557691745,3.7458606267797,3.97358217213135,4.07088008247844,3.93904970317281,3.97477236440315,3.55051375058973,3.32568656308334,3.57371471714358,3.8362308121045,4.20058179023185,4.44260645936971,4.68236473306573,5.01710874203356,5.072122121279,5.37753249279909,5.53309979267272,5.71298239829021,5.90856863886726,6.33732853015038
"12","Industrial Sector","Total",16.9241367529962,16.165146420147,16.2889808093427,16.4452599925873,14.9638089271022,14.3420353669155,13.3168923833189,13.9697682154443,13.1617859022212,16.0321916567068,16.2695544841572,15.9570764975374,15.0575957548994,15.8402288344256,17.9567004549339,17.2138494761414,17.5012026540648,18.4368483656752,18.8005928582014,18.3446631774382,19.3199554360726,19.6728712380879,18.5503243373166,16.9794669343369,17.2680691528082,17.3093233228886,17.1872860725313,17.5337004288696,17.2392736294551,16.8325836409572,16.9307546113803,16.5169333004633,16.2411719643743,17.3200664231272,17.6512260689871,17.7132538835638,16.6967494166389,16.9769683823037,16.3522899266679,12.6517218037165,12.9210089480238,12.5065122532323,12.64689835148,12.6312208879429,12.2521710491783,11.3068971755737,11.2376570128181,11.2331832356018,11.3113383947943,11.5563480443532,10.7664827504034,11.591422706646
"13","Transportation Sector","Coal",0.0150279066666667,0.00951133333333333,0.00665793333333333,0.0042801,0.00275828666666667,0.00104624666666667,0.000380453333333333,0.00028534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Transportation Sector","Petroleum Products",31.5035528866667,33.2247662633333,34.18550795,35.40069951,33.7292298933333,33.2479977133333,34.8340573166667,35.6477066733333,36.5009681666667,35.6677227133333,33.8556792933333,33.82686934,32.4768251866667,33.5072847633333,33.8389606866667,35.3112092666667,37.1921329633333,39.80661465,41.9997113433333,40.4470994766667,41.0124763033333,40.0417309966667,39.7759895866667,40.5642550866667,41.2903941633333,42.0599200633333,42.42357845,43.83895912,44.5748519333333,45.3400553833333,48.3582972033333,48.1797241566667,48.3335719533333,50.66709505,54.42820394,55.20292272,56.46979096,56.21811877,51.2408604033333,49.3781848266667,51.6966946466667,49.4571893933333,50.0841070766667,50.1079416566667,51.87766221,51.4756554766667,53.1275606033333,53.6092612366667,54.6532023033333,55.3184656933333,46.5408571833333,49.00183838
"15","Transportation Sector","Natural Gas",0.42315262,0.38911378,0.4496096,0.31642336,0.22867526,0.16574052,0.14612312,0.14728956,0.1450097,0.21849542,0.4443076,0.58104618,0.59520252,0.39356746,0.35989976,0.24383898,0.2680161,0.35003804,0.4546465,0.3228918,0.38381178,0.3665387,0.3554122,0.32140724,0.352583,0.348370073333333,0.43501161,0.418033476666667,0.388526783333333,0.45204852,0.450557213333333,0.42962106,0.446047396666667,0.39494598,0.318233886666667,0.28249056,0.30629654,0.38815942,0.47309746,0.492684206666667,0.55716144,0.775003386666667,0.533166443333333,0.4774451,0.4243965,0.45560801,0.48724819,0.53380899,0.59058142,0.77645425,0.61148087,0.76989341
"16","Transportation Sector","Total",31.9417334133333,33.6233913766667,34.6417754833333,35.72140297,33.96066344,33.41478448,34.98056089,35.7952815733333,36.6459778666667,35.8862181333333,34.2999868933333,34.40791552,33.0720277066667,33.9008522233333,34.1988604466667,35.5550482466667,37.4601490633333,40.15665269,42.4543578433333,40.7699912766667,41.3962880833333,40.4082696966667,40.1314017866667,40.8856623266667,41.6429771633333,42.4082901366667,42.85859006,44.2569925966667,44.9633787166667,45.7921039033333,48.8088544166667,48.6093452166667,48.77961935,51.06204103,54.7464378266667,55.48541328,56.7760875,56.60627819,51.7139578633333,49.8708690333333,52.2538560866667,50.23219278,50.61727352,50.5853867566667,52.30205871,51.9312634866667,53.6148087933333,54.1430702266667,55.2437837233333,56.0949199433333,47.1523380533333,49.77173179
"17","Electric Power Sector","Coal",15.6599347666667,13.5993044,11.4918782733333,11.5121374133333,10.0307472466667,9.08360867333333,13.2250334333333,11.6265587533333,10.0468214,12.1513941266667,13.2284575133333,15.4432665933333,15.66916076,15.8368455666667,17.5819850066667,17.4670881,17.9591093733333,20.22604056,20.6211413466667,25.19780472,21.9956241266667,23.05785405,24.59222634,27.6950938,25.3169719733333,27.30138048,31.0700016,32.2484064833333,33.0086220566667,34.06388128,39.37124378,37.3013071566667,37.4176572,35.4637230933333,34.8228331733333,35.2445467733333,33.63146281,35.66326049,31.63281044,25.58548916,25.9046931,20.5970229666667,14.6539636466667,21.4478854333333,20.81339876,17.54678717,16.85589466,11.0774886933333,10.10290897,4.06164704,3.81963208,3.04991973
"18","Electric Power Sector","Petroleum Products",8.90312947333333,10.76013917,12.76200893,12.4388252633333,13.34863508,12.8932255833333,12.2117014433333,13.5151127466667,12.9918728133333,11.7843935366667,7.22788638,3.22133496666667,1.55596213666667,1.27474754,1.22722504666667,0.760697666666667,2.30647417,2.15814353333333,2.04317003,3.18526402333333,0.908799026666667,1.55453441,1.21253579333333,1.72389770666667,1.95456789,1.03867833666667,0.76533644,1.54309499666667,2.06462479666667,2.34678345,2.01267359333333,3.71562018666667,2.65895256,4.22918125666667,3.8055589,3.18666674333333,0.6011544,1.50146010666667,0.90156814,0.7798153,0.978896453333333,0.37454472,0.267345613333333,0.23052194,0.925075176666667,0.85310786,0.434215723333333,0.357587706666667,0.695031846666667,0.17840328,0.16185224,0.229351173333333
"19","Electric Power Sector","Natural Gas",0.23259874,0.22872828,0.25465506,0.23424236,0.25730606,0.0288959,0.02799456,0.08477898,0.06426024,0.20767934,0.13376946,0.12677082,0.1731103,0.18466866,0.17395862,0.08424878,0.04729384,0.09495882,0.06129112,0.20932296,0.53380536,0.873854116666667,1.30715181666667,2.2013904,2.2210078,2.46278435333333,1.73415715,1.05773770666667,2.07964881666667,2.27264928,2.02013258333333,1.8085122,1.89868587333333,1.9209146,2.65792677333333,3.66384106,3.29211784,4.9443801,4.2447812,5.220776,7.6589788,7.76803250666667,10.40303286,9.41375402,8.7699073,13.59136207,16.44437509,17.32183453,19.78908074,22.67685563,24.81251487,21.07796834
"20","Electric Power Sector","Total",24.79566298,24.58817185,24.5085422633333,24.1852050366667,23.6366883866667,22.0057301566667,25.4647294366667,25.22645048,23.1029544533333,24.1434670033333,20.5901133533333,18.79137238,17.3982331966667,17.2962617666667,18.9831686733333,18.3120345466667,20.3128773833333,22.4791429133333,22.7256024966667,28.5923917033333,23.4382285133333,25.4862425766667,27.11191395,31.6203819066667,29.4925476633333,30.80284317,33.56949519,34.8492391866667,37.15289567,38.68331401,43.4040499566667,42.8254395433333,41.9752956333333,41.61381895,41.2863188466667,42.0950545766667,37.52473505,42.1091006966667,36.77915978,31.58608046,34.5425683533333,28.7396001933333,25.32434212,31.0921613933333,30.5083812366667,31.9912571,33.7344854733333,28.75691093,30.5870215566667,26.91690595,28.79399919,24.3572392433333
